"circonscription","delegation","number","station_name","center_name"
"Tunis1","Hraïria","1010301005","م إبتدائية المشتل 1 - العقبة  مكتب 5","م إبتدائية المشتل 1 - العقبة  مكتب 5"
"Tunis1","Hraïria","1010301007","م إبتدائية المشتل 1 - العقبة  مكتب 7","م إبتدائية المشتل 1 - العقبة  مكتب 7"
"Tunis1","Hraïria","1010501303","م إبتدائية غدير القلة   مكتب 3","م إبتدائية غدير القلة   مكتب 3"
"Tunis1","Hraïria","1010701506","م إبتدائية حي الفلة   مكتب 6","م إبتدائية حي الفلة   مكتب 6"
"Tunis1","Hraïria","1010901804","م إبتدائية الزهروني   مكتب 4","م إبتدائية الزهروني   مكتب 4"
"Tunis1","El Kabaria","1040704305","م إبتدائية الإمتياز (ابن سينا 6 / 1) - إبن سينا (2)  مكتب 5","م إبتدائية الإمتياز (ابن سينا 6 / 1) - إبن سينا (2)  مكتب 5"
"Tunis1","El Ouardia","1060305902","م إبتدائية  2مارس لاكانيا - الازدهار  مكتب 2","م إبتدائية  2مارس لاكانيا - الازدهار  مكتب 2"
"Tunis1","El Ouardia","1060305903","م إبتدائية  2مارس لاكانيا - الازدهار  مكتب 3","م إبتدائية  2مارس لاكانيا - الازدهار  مكتب 3"
"Tunis1","El Ouardia","1060305904","م إبتدائية  2مارس لاكانيا - الازدهار  مكتب 4","م إبتدائية  2مارس لاكانيا - الازدهار  مكتب 4"
"Tunis1","El Ouardia","1060406001","م إبتدائية الوردية 1 - حي محمّد علي  مكتب 1","م إبتدائية الوردية 1 - حي محمّد علي  مكتب 1"
"Tunis1","El Ouardia","1060406002","م إبتدائية الوردية 1 - حي محمّد علي  مكتب 2","م إبتدائية الوردية 1 - حي محمّد علي  مكتب 2"
"Tunis1","El Ouardia","1060406003","م إبتدائية الوردية 1 - حي محمّد علي  مكتب 3","م إبتدائية الوردية 1 - حي محمّد علي  مكتب 3"
"Tunis1","El Ouardia","1060406004","م إبتدائية الوردية 1 - حي محمّد علي  مكتب 4","م إبتدائية الوردية 1 - حي محمّد علي  مكتب 4"
"Tunis1","El Ouardia","1060406101","م إبتدائية حي محمد علي الوردية  مكتب 1","م إبتدائية حي محمد علي الوردية  مكتب 1"
"Tunis1","El Ouardia","1060406103","م إبتدائية حي محمد علي الوردية  مكتب 3","م إبتدائية حي محمد علي الوردية  مكتب 3"
"Tunis1","Bab El Bhar","1070306701","م إبتدائية  80نهج عبد الرزاق الشرايبي - بحيرة تونس  مكتب 1","م إبتدائية  80نهج عبد الرزاق الشرايبي - بحيرة تونس  مكتب 1"
"Tunis1","Bab El Bhar","1070306702","م إبتدائية  80نهج عبد الرزاق الشرايبي - بحيرة تونس  مكتب 2","م إبتدائية  80نهج عبد الرزاق الشرايبي - بحيرة تونس  مكتب 2"
